# Fluesschen Gefälle 0,1 %  auf der Gesamtstrecke 
#   xL         yL        zL               xR          yR        zR              km    
 -24.0530    30.0000   13.3295         -24.0530   -230.0000   13.3295        -24.053           
 174.6480    30.0000   13.1308         174.6480   -230.0000   13.1308        174.648    
 373.6820    30.0000   12.9318         373.6820   -230.0000   12.9318        373.682    
 572.7170    30.0000   12.7328         572.7170   -230.0000   12.7328        572.717    
 771.7634    30.0000   12.5337         771.7386   -230.0000   12.5337        771.751    
 987.0145    29.9589   12.3347         954.5575   -230.0349   12.3347        970.7860036
1234.9806   -32.8818   12.1361        1086.0654   -263.3622   12.1361       1166.521029
1411.9623  -255.4808   11.9374        1152.1857   -346.5252   11.9374       1361.834228
1412.6645  -540.5689   11.7388        1152.4455   -451.9891   11.7388       1557.110821
1239.3583  -764.4877   11.5403        1087.0257   -536.5143   11.5403       1752.128643
1017.8380  -824.8424   11.3416         930.1740   -579.2496   11.3416       1948.210844
 889.7402  -882.0019   11.1429         701.4678   -681.3021   11.1429       2143.567925
 840.6961  -975.3888   10.9443         568.9039   -933.7232   10.9443       2338.865543
 859.5705 -1079.4958   10.7458         619.7195  -1214.0122   10.7458       2534.19666 
 941.4329 -1152.4470   10.5471         829.5271  -1400.9810   10.5471       2729.535977
1089.1849 -1170.0000   10.3483        1073.7951  -1430.0000   10.3483       2926.92432 
1429.8010 -1170.0000   10.0000        1429.8010  -1430.0000   10.0000       3275.23532
END
