     Time        WW       Cap      Tair      Patm      Hrel      Nebu    Pr?ip.     Evap.
      sec       m/s         ?        ?C      mbar         %      octa m3/s/m2*e-m3/s/m2*e-8
         0         6       140     22.1    1012.5         84         7 0.000E+00     3.76
     10800         5       140        22   1011.8         83         7 0.000E+00     3.77
     21600         5       130     21.6    1012.2         80         7 0.000E+00     3.79
     32400         6       160     24.1    1013.2         75         7 0.000E+00     3.80
     43200         8       150     24.3    1013.2         73         5 0.000E+00     3.82
     54000         6       150     23.3    1012.6         80         7 0.000E+00     3.78
     64800         3       150     22.6    1013.3         82         7 0.000E+00     3.73
     75600         1       140     21.4    1014.1         85         6 0.000E+00     3.69
     86400         3       110     21.4    1013.8         79         6 0.000E+00     3.65
     97200         1        30     20.3    1013.6         82         7 0.000E+00      3.6
    108000         2        80     19.9    1013.2         83         7 0.000E+00     3.56
    118800         5       130     23.7    1013.9         72         7 0.000E+00     3.52
    129600         6       160     24.5    1013.4         70         7 0.000E+00     3.47
    140400         5       160     23.6    1011.3         75         7 1.512E-02     3.69
    151200         4       150     22.4       1011        76         6 3.132E-02     3.91
    162000         5       120     21.8       1010        79         7 4.644E-02     4.12
    172800         6       140     21.6    1007.8         80         0 6.264E-02     4.34
    183600         6       130     21.7    1005.7         74         5 7.776E-02     4.56
    194400         7       120     21.9    1003.2         75         7 9.396E-02     4.77
    205200        12       150     25.1    1001.9         68         7 1.091E-01     4.99
    216000        11       310     21.5    1003.8         61         7 1.253E-01     5.21
    226800         8       290     22.3       1005        57         7 1.091E-01     5.19
    237600         8       320     20.3    1007.1         53         3 9.396E-02     5.18
    248400         8       340     17.8    1008.7         53         5 7.776E-02     5.16
    259200         9       300        17   1008.6         57         0 6.264E-02     5.15
    270000         9       300     15.8    1008.6         60         4 4.644E-02     5.14
    280800         3       300     14.1    1008.7         67         4 3.132E-02     5.12
    291600         4       320     18.3    1009.2         53         1 1.512E-02     5.11
    302400         9       300     20.9    1009.4         42         1 0.000E+00      5.1
    313200         8       320     21.5    1008.6         44         2 0.000E+00     5.16
    324000         6       320     18.5    1010.4         55         1 0.000E+00     5.24
    334800         6       320     16.6    1012.4         64         1 0.000E+00     5.31
    345600        10       320     15.1    1012.7         67         0 0.000E+00     5.38
    356400        10       320     13.5    1012.6         71         0 0.000E+00     5.45
    367200         9       320     13.7    1014.1         69         0 0.000E+00     5.53
    378000        12       330     17.8    1015.6         59         1 0.000E+00      5.6
    388800        12       330     20.5    1015.8         44         1 0.000E+00     5.67
    399600        13       330        21   1015.9         36         1 3.240E-03     5.35
    410400         8       330     18.8    1017.2         41         1 6.480E-03     5.03
    421200         8       340     17.2    1018.2         53         1 9.720E-03     4.72
    432000         7       330     15.2    1018.5         64         0 1.296E-02      4.4
